ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementTitle19,Typer King,ملك النقرات,键盘侠,鍵盤俠,Tipper-König,Rey del toque,خدای بوکس,Roi du Clic,מלך הלחצנים,Raja Pengetuk,Dattilografo,キングタイパー,타이핑 킹,Gépelő Király,Typkoning,Kongen av klikking,Król kliknięć,Rei da Digitação,Король тапинга,Король тапінгу,Napautus mestari,Vua đánh máy,Kâtip Kral
AchievementDesc19,Tap the equation 10000 times.,إضغط على المعادلة 10000 مرة.,点击公式10000次。,點擊方程式10000次。,Tippe die Gleichung 10000 mal an.,Toca la ecuación 10000 veces.,ده هزار بار روی معادله ضربه بزنید.,Appuyez sur l'équation 10000 fois.,"לחץ על המשוואה 10,000 פעמים.",Ketuk pada persamaan matematika 10000 kali.,Tocca l'equazione 10000 volte.,等式を10000回をタップする。,"방정식을 10,000번 탭하세요.",Koppints az egyenletre 10000 alkalommal.,Tik 10000 keer op de vergelijking.,Trykk på linkingen 10000 ganger.,Dotknij równanie 10000 razy.,Toque na equação 10000 vezes.,Нажмите на уравнение 10000 раз.,Натисніть на рівняння 10000 раз.,Napauta yhtälöä 10000 kertaa.,Nhấn vào phương trình 10000 lần.,Denkleme 10000 defa tıkla.
AchievementTitle20,Killing Spree,القتل الفوري,大杀特杀,大殺特殺,Die Finger brennen,Matanza,روی دور,Tuerie de masse,מסע הרג,Berbunuh-Ria,Frenesia,大虐殺,연쇄살인마,Ámokfutó,Moordreeks,Seriemorder,Dominacja,Matança,Серийный убийца,Серійний вбивця,Tappoputki,Chuỗi giết chóc,Katliam
AchievementDesc20,"Get 100000 ticks, either tap or automatic.",إحصل على 100000 نقرة، إمّا عن طريق الضغط او تلقائيًا.,点击100000次，手动和自动都算在内。,總共獲得100000刻。,Tippe 100.000 mal. Entweder Manuell oder Automatisch.,"Obtén 100000 ticks, ya sean manuales o automáticos.",یکصد هزار ستاره کسب بکن چه با ضربه زدن چه توسط تیک.,Accumulez 100000 ticks en appuyant ou automatiquement.,"השג 100,000 טיקים ע""י לחיצה או אוטומטית.","Dapatkan 100000 tik, baik melalui ketukan ataupun otomatis.","Raggiungi t=100000, premendo o in automatico.",タップまたは自動で100000ティック獲得する。,"탭이나 자동으로 100,000틱을 플레이하세요.","Juss el 100000 tick-ig, koppintással vagy automatával.","Krijg 100000 ticks, zowel door te tikken als automatisch.","Få 100000 tikk, enten trykk eller automatisk.","Uzyskaj 100000 cykli, ręcznie lub automatycznie.","Consiga 100000 tiques, seja tocando ou automático.","Наберите 100000 тактов, автоматически или нажатиями.","Наберіть 100000 тактів, автоматично або натисканням.","Hanki 100000 tikkiä, joko napauttamalla tai automaattisesti.",Nhận 100000 tích bằng cách chạm hoặc có tự động.,"100000 tike ulaş, otomatik veya tıklamayla."
AchievementTitle21,You Can Stop Now,يمكنك التوقف الآن,你可以停下來了,你可以停下來了,Du kannst jetzt aufhören,Ya puedes parar,دیگه میتونی دست نگه داری,Vous pouvez arrêter maintenant,אתה יכול להפסיק עכשיו,Kamu Bisa Berhenti Sekarang,Ti puoi fermare ora,もうやめ時だ,이제 그만해도 돼요,Most Már Megállhatsz,Je kunt nu stoppen,Du kan stoppe nå,Już możesz przestać,Você Pode Parar Agora,Можешь остановиться,Можеш зупинитися,Voit lopettaa jo,Bạn có thể dừng được rồi,Şimdi Durabilirsin
AchievementDesc21,"Get 1000000 ticks, either tap or automatic.",إحصل على 1000000 نقرة، إمّا عن طريق الضغط او تلقائيًا.,点击1000000次，手动和自动都算在内。,總共獲得1000000刻。,Tippe 1.000.000 mal. Entweder Manuell oder Automatisch.,"Obtén 1000000 ticks, ya sean manuales o automáticos.",یک میلیون ستاره کسب بکن چه با ضربه زدن چه توسط تیک.,Accumulez 1000000 ticks en appuyant ou automatiquement.,"השג 1,000,000 טיקים ע""י לחיצה או אוטומטית.","Dapatkan 1000000 tik, baik melalui ketukan ataupun otomatis.","Raggiungi t=1000000, premendo o in automatico.",タップまたは自動で1000000ティックを得る。,"탭이나 자동으로 1,000,000틱을 플레이하세요.","Juss el 1000000 tick-ig, koppintással vagy automatával.","Krijg 1000000 ticks, zowel door te tikken als automatisch","Få 1000000 tikk, enten ved å trykke eller automatisk.","Uzyskaj 1000000 cykli, ręcznie lub automatycznie.","Consiga 1000000 tiques, seja tocando ou automático.","Наберите 1000000 тактов, автоматически или нажатиями.","Наберіть 1000000 тактів, автоматично або натисканням.","Hanki 1000000 tikkiä, joko napauttamalla tai automaattisesti.",Nhận 1000000 tích bằng cách chạm hoặc có tự động.,"1000000 tike ulaş, otomatik veya tıklamayla."
AchievementTitle22,Fast Tapper,الضاغط السريع,快手,快槍俠,Schneller Tipper,Toque veloz,بوکسور قهار.,Cliqueur rapide,לחצן מהיר,Pengetuk Cepat,Tocchi veloci,高速タッパー,패스트 태퍼,Fürge Ujjak,Snelle Tikker,Rask trykker,Szybki klikacz,Tocador Rápido,Быстрый стрелок,Швидкі пальці,Nopeaa naputtelua,Nhấn nhanh,Hızlı Eller
AchievementDesc22,Tap the equation 5 times in one second.,إضغط على المعادلة 5 مرات خلال ثانية واحدة.,一秒钟内点击公式5次。,一秒鐘內點擊方程式5次。,Tippe die Gleichung 5 mal in der Sekunde.,Toca la ecuación 5 veces en un segundo.,در یک ثانیه ۵ بار روی معادله ضربه بزن.,Appuyez sur l'équation 5 fois en une seconde.,לחץ על המשוואה 5 פעמים בשנייה אחת.,Ketuk pada persamaan matematika 5 kali dalam satu detik.,Tocca l'equazione 5 volte in un secondo.,等式を1秒間に5回タップする。,방정식을 1초안에 5번 탭하세요.,Koppints az egyenletre 5 alkalommal egy másodpercen belül.,Tik 5 keer op de vergelijking in 1 seconde.,Trykk på likningen fem ganger på ett sekund.,Dotknij równanie 5 razy w ciągu 1 sekundy.,Toque a equação 5 vezes em um segundo.,Нажмите на уравнение 5 раз за секунду.,Натисніть на рівняння 5 разів за секунду.,Napauta yhtälöä 5 kertaa sekunnissa.,Nhấn vào phương trình 5 lần trong một giây.,Denkleme bir saniyede 5 defa tıkla.
AchievementTitle23,Auto Clicker,الضاغط التلقائي,触手怪,閃電俠,Auto Clicker,Auto clicker,بوکسور حرفه‌ای,Auto Cliqueur,לחצן אוטומטי,Pengetuk Otomatis,Auto Clicker,自動クリッカー,오토 클리커,Automata Kattintó,Auto Clicker,Auto-trykker,Auto Kliker,Auto Clicker,Автокликер,Автоклікер,Auto Klikkeri,Máy bấm tự động,Auto Clicker
AchievementDesc23,Tap the equation 25 times in one second.,إضغط على المعادلة 25 مرة خلال ثانية واحدة.,一秒钟内点击公式25次。,一秒鐘內點擊方程式25次。,Tippe 25 Mal in einer Sekunde auf die Gleichung.,Toca la ecuación 25 veces en un segundo.,در یک ثانیه 25 بار روی معادله ضربه بزن.,Appuyez sur l'équation 25 fois en une seconde.,לחץ על המשוואה 25 פעמים בשנייה אחת.,Ketuk pada persamaan matematika 25 kali dalam satu detik.,Tocca l'equazione 25 volte in un secondo.,等式を1秒間に25回タップする。,방정식을 1초안에 25번 탭하세요.,Koppints az egyenletre 25 alkalommal egy másodpercen belül.,Tik 25 keer op de vergelijking in 1 seconde.,Trykk på likningen 25 ganger på ett sekund.,Dotknij równanie 25 razy w ciągu 1 sekundy.,Toque a equação 25 vezes em um segundo.,Нажмите на уравнение 25 раз за секунду.,Натисніть на рівняння 25 разів за секунду.,Napauta yhtälöä 25 kertaa sekunnissa.,Nhấn vào phương trình 25 lần trong một giây.,Denkleme bir saniyede 25 defa tıkla.
AchievementTitle24,First Prestige,اول هيبة,九九归一,九九歸一,Erste Prestige,Primer prestigio,اولین اعتبار,Premier prestige,היוקרה הראשונה,Prestise Pertama,Il primo Prestigio,最初のプレステージ,첫 프레스티지,Első Presztízs,Eerste Prestige,Første prestisje,Pierwszy Prestigż,Primeiro Prestígio,Первый Престиж,Перший Престиж,Ensimmäinen prestige,Lần Uy danh đầu,İlk Prestij
AchievementDesc24,Prestige once.,حقق الهيبة مرة واحدة.,归一一次。,歸一1次。,Führe eine Prestige durch.,Realiza un prestigio por primera vez.,یک بار از اعتبار استفاده نمایید.,Effectuez un prestige.,בצע יוקרה פעם אחת.,Prestisikan sekali.,Esegui un prestigio.,プレステージを1回行う。,프레스티지를 한 번 실행하세요.,Presztízselj egyszer.,Prestige 1 keer.,Prestisj èn gang.,Dokonaj 1 prestiżu.,Prestigie uma vez.,Выполните Престиж один раз.,Виконайте Престиж один раз.,Tee Prestige kerran.,Thực hiện Uy danh 1 lần.,İlk prestijini gerçekleştir.
AchievementTitle25,I've Seen It Before,رأيتها من قبل,似曾相识,似曾相識,Hab ich schonmal gesehen,Lo he visto antes,قبلاً هم همین را دیده‌ام.,Déjà-vu,ראיתי את זה קודם,Aku Melihat Ini Sebelumnya,L'ho già visto prima,もう見た,이전에 본 거 같은데요,Mintha Már Láttam Volna,Ik heb het eerder gezien,Jeg har sett dette før.,Już to widziałem,Eu Já Vi Isso Antes.,Я видел это раньше,Я бачив це раніше,Olen nähnyt sen aikaisemmin,Tôi đã từng thấy nó,Bunu Daha Önce Görmüştüm
AchievementDesc25,Prestige twice.,حقق الهيبة مرتين.,归一两次。,歸一2次。,Prestige zweimal.,Realiza tu segundo prestigio.,دو بار از اعتبار استفاده نمایید.,Effectuez deux prestiges.,בצע יוקרה פעמיים.,Prestisikan dua kali,Esegui un secondo prestigio.,プレステージを2回行う。,프레스티지를 두 번 실행하세요.,Presztízselj kétszer.,Prestige 2 keer.,Prestisj to ganger.,Drugi Prestiż.,Prestigie duas vezes.,Выполните Престиж дважды.,Виконайте Престиж двічі.,Tee Prestige kahdesti.,Thực hiện Uy danh 2 lần.,İkinci prestijini gerçekleştir.
AchievementTitle26,Progress Gets Faster,التقدم في تسارع,进步神速,進展神速,Fortschritt wird schneller,El progreso va más rápido,پیشرفت سریع‌تر می‌شود.,La progression s'accélère,ההתקדמות נעשית מהירה יותר,Progres Jadi Lebih Cepat,Il progresso si velocizza,進捗は加速する,진행이 더 빨라지네요,Még Gyorsabb Haladás,Voortgang wordt sneller,Fremgangen blir raskere,Postęp coraz szybszy,Progressão Fica Mais Rápida,Прогресс становится быстрее,Прогрес стає швидшим,Eteneminen nopeutuu,Mọi thứ đều nhanh hơn,İlerleme Hızlanıyor
AchievementDesc26,Prestige 10 times.,حقق الهيبة 10 مرات.,归一10次。,歸一10次。,Prestige 10 mal.,Realiza 10 prestigios.,10 بار از اعتبار استفاده نمایید.,Effectuez 10 prestiges.,בצע יוקרה 10 פעמים.,Prestise 10 kali.,Esegui 10 prestigi.,プレステージを10回行う。,프레스티지를 10번 실행하세요.,Presztízselj 10 alkalommal.,Prestige 10 keer.,Prestisj 10 ganger.,Prestiżuj 10 razy.,Prestigie 10 vezes.,Выполните Престиж 10 раз.,Виконайте Престиж 10 разів.,Tee Prestige 10 kertaa.,Thực hiện Uy danh 10 lần.,10 defa prestij gerçekleştir.
AchievementTitle27,Am I Close to Infinity?,هل أنا قريب من اللانهائية؟,我快到极限了吗？,我快到無限了吧？,Bin ich der nahe der Unendlichkeit?,¿Estoy cerca de infinito?,دارم به بی‌نهایت می‌رسم؟,Suis-je proche de l'infini?,האם אני קרוב לאינסוף?,Apa Aku Dekat Dengan Tak Terhingga?,Sono vicino all'infinito?,無限はすぐそこですか？,저 무한대 근처는 가고 있나요?,Közel Vagyok A Végtelenhez?,Zit ik dicht bij oneindigheid?,Er jeg nær uendelig?,Blisko do nieskończoności?,Eu Estou Perto Do Infinito?,Я близок к бесконечности?,Я близький до нескінченності?,Olenko lähellä ääretöntä?,Tôi đã đến gần vô tận chưa?,Sonsuzluğa Yakın mıyım?
AchievementDesc27,Prestige 25 times.,حقق الهيبة 25 مرة.,归一25次。,歸一25次。,Führe 25 Prestiges durch.,Realiza 25 prestigios.,25 بار از اعتبار استفاده نمایید.,Effectuez 25 prestiges.,בצע יוקרה 25 פעמים.,Prestise 25 kali.,Esegui 25 prestigi.,プレステージを25回行う。,프레스티지를 25번 실행하세요.,Presztízselj 25 alkalommal.,Prestige 25 keer.,Prestisj 25 ganger.,Prestiżuj 25 razy.,Prestigie 25 vezes.,Выполните Престиж 25 раз.,Виконайте Престиж 25 разів.,Tee Prestige 25 kertaa.,Thực hiện Uy danh 25 lần.,25 defa prestij gerçekleştir.
AchievementTitle28,Sugar Daddy,شوقر دادي,大佬带我,求乾爹包養,Sugar Daddy,Sugar daddy,بچه پولدار,Sugar Daddy,שוגר דדי,Om Om Kaya,Sugar Daddy,パトロン,아저씨가 돈이 많아,Cukrosbácsi,Suiker-oom,Sugar Daddy,Sponsor,Sugar Daddy,Папик,Папік,Sugar Daddy,Người bố tuyệt vời,Para Babası
AchievementDesc28,Prestige 50 times.,حقق الهيبة 50 مرة.,归一50次。,歸一50次。,Prestige 50 mal.,Realiza 50 prestigios.,پنجاه بار از اعتبار استفاده نمایید.,Effectuez 50 Prestiges.,בצע יוקרה 50 פעמים.,Prestise 50 kali.,Esegui 50 prestigi.,プレステージを50回行う。,프레스티지를 50번 실행하세요.,Presztízselj 50 alkalommal.,Prestige 50 keer.,Prestisj 50 ganger.,Prestiżuj 50 razy.,Prestigie 50 vezes.,Выполните Престиж 50 раз.,Виконайте Престиж 50 разів.,Tee Prestige 50 kertaa.,Thực hiện Uy danh 50 lần.,50 defa prestij gerçekleştir.
AchievementTitle29,Prestigious,ذو هيبة,大神求带,威名顯赫,Angesehen,Prestigioso,با‌کلاس,Prestigieux,יוקרתי,Bergengsi,Prestigioso,一流,명성,Tekintélyes,Prestigieus,Prestisjiøs!,Prestiżowy,Prestigioso,Престижный,Престижний,Prestiiginen,Uy tín là vàng,Prestijli
